Code_id,Block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,Stype,AgeL,AgeH,Atype
10801-00,1837,"Investigation, evaluation or fitting of contact lenses","Investgtn evaln/fitting contact lenses",1/7/1998,1/7/2000,,,,,
10816-00,1837,Refitting of contact lenses,Refitting of contact lenses,1/7/1998,1/7/2000,,,,,
11000-00,1825,Electroencephalography,Electroencephalography,1/7/1998,,,,,,
11003-00,1825,Electroencephalography of >= 3 hours duration,Electroencephalography of >= 3 hours,1/7/1998,,,,,,
11006-00,1825,Temporosphenoidal electroencephalography,Temporosphenoidal electroencephalography,1/7/1998,,,,,,
11009-00,1825,Electrocorticography,Electrocorticography,1/7/1998,,,,,,
11012-00,1826,Electromyography [EMG],Electromyography [EMG],1/7/1998,,,,,,
11012-01,1826,Conduction studies on 1 nerve,Conduction studies on 1 nerve,1/7/1998,,,,,,
11012-02,1826,Conduction studies on 1 nerve with electromyography,Conduction studies on 1 nerve with EMG,1/7/1998,,,,,,
11015-00,1826,Conduction studies on 2 or 3 nerves,Conduction studies on 2 or 3 nerves,1/7/1998,,,,,,
11015-01,1826,Conduction studies on 2 or 3 nerves with electromyography,Conduction studies on 2 or 3 nerve w EMG,1/7/1998,,,,,,
11018-00,1826,Conduction studies on >= 4 nerves,Conduction studies on >= 4 nerves,1/7/1998,,,,,,
11018-01,1826,Conduction studies on >= 4 nerves with electromyography,Conduction studies >=4 nerves w EMG,1/7/1998,,,,,,
11018-02,1826,Conduction studies with electromyography of single fibres of nerves and muscles,"Conductn stud, EMG sgl fibres nrv & musc",1/7/1998,,,,,,
11021-00,1826,Electromyography with quantitative computerised analysis,EMG with quantitative comput analysis,1/7/1998,,,,,,
11021-01,1826,Repetitive neuromuscular conduction studies,Repetitive neuromuscular conduction stud,1/7/1998,,,,,,
11021-02,1826,Repetitive neuromuscular conduction studies with quantitative computerised analysis electromyography,Repetitive neuromusc conductn stud w EMG,1/7/1998,,,,,,
11024-00,1827,"Investigation of central nervous system evoked responses, 1 or 2 studies",Investgtn CNS evoked respn 1 or 2 stud,1/7/1998,,,,,,
11027-00,1827,"Investigation of central nervous system evoked responses, >= 3 studies",Investigation CNS evoked respn >=3 stud,1/7/1998,,,,,,
11200-00,1835,Provocative test for glaucoma,Provocative test for glaucoma,1/7/1998,,,,,,
11203-00,1835,Tonography for glaucoma,Tonography for glaucoma,1/7/1998,1/7/2017,,,,,
11204-00,1835,Electroretinography [ERG],Electroretinography [ERG],1/7/2004,,,,,,
11205-00,1835,Electro-oculography [EOG],Electro-oculography [EOG],1/7/2004,,,,,,
11206-00,1835,Electroretinography [ERG],Electroretinography [ERG],1/7/1998,1/7/2004,,,,,
11206-01,1835,Electro-oculography [EOG],Electro-oculography [EOG],1/7/1998,1/7/2004,,,,,
11209-00,1835,Electroretinography with electro-oculography,"Electroretinography, electro-oculography",1/7/1998,1/7/2004,,,,,
11210-00,1835,Pattern electroretinography,Pattern electroretinography,1/7/2004,,,,,,
11211-00,1831,Dark adaptation study,Dark adaptation study,1/7/2004,,,,,,
11212-00,1835,Examination of optic fundi,Examination of optic fundi,1/7/1998,1/7/2017,,,,,
11215-00,1990,Retinal angiography,Retinal angiography,1/7/1998,,,,,,
11218-00,1990,Retinal photography of both eyes,Retinal photography of both eyes,1/7/1998,1/7/2019,,,,,
11219-00,2016,Optical coherence tomography,Optical coherence tomography,1/7/2019,,,,,,
11221-00,1832,"Full quantitative computerised perimetry, bilateral",Full quantitative comput perimetry bil,1/7/1998,,,,,,
11224-00,1832,"Full quantitative computerised perimetry, unilateral",Full quantitatv comput perimetry uni,1/7/1998,,,,,,
11235-00,1835,Examination of eye by impression cytology of cornea,Exam eye by impression cytology cornea,1/7/1998,,,,,,
11240-00,1940,Unidimensional ultrasound of orbital contents,"Unidimensional u/s of orbital contents",1/7/2002,1/7/2004,,,,,
11240-01,1835,Partial coherence interferometry,Partial coherence interferometry,1/7/2008,,,,,,
11300-00,1839,Brain stem evoked response audiometry,Brain stem evoked response audiometry,1/7/1998,,,,,,
11303-00,1840,Electrocochleography by extratympanic method,"Electrocochleography, extratympanic meth",1/7/1998,,,,,,
11304-00,1840,Electrocochleography by transtympanic method,"Electrocochleography, transtympanic meth",1/7/1998,,,,,,
11306-00,1843,Other audiometry,Other audiometry,1/7/1998,,,,,,
11309-00,1836,"Air conduction audiometry, standard technique","Air conduction audiometry, std tech",1/7/1998,,,,,,
11309-01,1836,Air conduction audiometry using visual reinforcement,Air conductn audiometry visual reinfrcmt,1/7/2000,,,,,,
11312-00,1836,"Air and bone conduction audiometry, standard technique","Air & bone conduction audiometry, std",1/7/1998,,,,,,
11312-01,1839,Air conduction and speech discrimination audiometry,Air conduction & sp discrim audiometry,1/7/1998,1/7/2000,,,,,
11312-02,1836,Air and bone conduction audiometry using visual reinforcement,Air & bone audiometry visual reinfrcmt,1/7/2000,,,,,,
11315-00,1839,Air and bone conduction and speech discrimination audiometry,Air & bne conductn & sp discrim audiomty,1/7/1998,1/7/2000,,,,,
11315-01,1837,Speech discrimination test,Speech discrimination test,1/7/2000,,,,,,
11315-02,1837,Speech discrimination test with background noise,Speech discrim test w backgrnd noise,1/7/2000,,,,,,
11318-00,1839,Air and bone conduction and speech discrimination audiometry with other cochlear testing,"Air & bne conductn, audiomty & oth test",1/7/1998,1/7/2000,,,,,
11321-00,1843,Measurement of glycerol induced cochlear function changes,Measure glycerol ind cochlear fn changes,1/7/1998,1/7/2019,,,,,
11324-00,1841,Tympanometry using standard probe tone,Tympanometry using standard probe tone,1/7/1998,,,,,,
11324-01,1841,Tympanometry using high frequency probe tone,Tympanometry usg high freq probe tone,1/7/2000,,,,,,
11332-00,1844,Click evoked otoacoustic emissions evaluation,Click evoked otoacoustic emissions evaln,1/7/2002,,,,,,
11332-01,1844,Distortion product otoacoustic emissions evaluation,Distortion prdct otoacous emission evaln,1/7/2002,,,,,,
11332-02,1844,Other otoacoustic emissions evaluation,Other otoacoustic emissions evaluation,1/7/2002,,,,,,
11333-00,1845,Caloric test of labyrinth,Caloric test of labyrinth,1/7/1998,,,,,,
11336-00,1845,Simultaneous bithermal caloric test of labyrinths,Simults bitherml caloric test labyrinths,1/7/1998,,,,,,
11339-00,1845,Electronystagmography [ENG],Electronystagmography [ENG],1/7/1998,,,,,,
11500-00,1849,Bronchospirometry,Bronchospirometry,1/7/1998,1/7/2019,,,,,
11503-00,1847,Measurement of respiratory muscle strength involving transdiaphragmatic or oesophageal pressures,Measure resp musc strength inv pressures,1/7/1998,,,,,,
